x,y,h,is_building
437.000,1.000,0.00000,0
439.000,1.000,0.00000,0
441.000,1.000,0.00000,0
443.000,1.000,0.00000,0
445.000,1.000,0.00000,0
447.000,1.000,0.00000,0
449.000,1.000,0.00000,0
451.000,1.000,0.00000,0
453.000,1.000,0.00000,0
455.000,1.000,0.00000,0
457.000,1.000,0.00000,0
459.000,1.000,0.00000,0
461.000,1.000,0.00000,0
463.000,1.000,0.00000,0
465.000,1.000,0.00000,0
467.000,1.000,0.00000,0
469.000,1.000,0.00000,0
471.000,1.000,0.00000,0
473.000,1.000,0.00000,0
475.000,1.000,0.00000,0
477.000,1.000,0.00000,0
479.000,1.000,0.00000,0
481.000,1.000,0.00000,0
483.000,1.000,0.00000,0
485.000,1.000,0.00000,0
487.000,1.000,0.00000,0
489.000,1.000,0.00000,0
491.000,1.000,0.00000,0
493.000,1.000,0.00000,0
495.000,1.000,0.00000,0
497.000,1.000,0.00000,0
499.000,1.000,0.00000,0
1.000,3.000,1.39831,0
3.000,3.000,1.39065,0
5.000,3.000,1.39068,0
7.000,3.000,1.39070,0
9.000,3.000,1.39067,0
11.000,3.000,1.39058,0
13.000,3.000,1.39039,0
15.000,3.000,1.39009,0
17.000,3.000,1.38964,0
19.000,3.000,1.38900,0
21.000,3.000,1.38811,0
23.000,3.000,1.38691,0
25.000,3.000,1.38530,0
27.000,3.000,1.38320,0
29.000,3.000,1.38050,0
31.000,3.000,1.37710,0
33.000,3.000,1.37292,0
35.000,3.000,1.36785,0
37.000,3.000,1.36184,0
39.000,3.000,1.35482,0
41.000,3.000,1.34678,0
43.000,3.000,1.33774,0
45.000,3.000,1.32777,0
47.000,3.000,1.31696,0
49.000,3.000,1.30546,0
51.000,3.000,1.29341,0
53.000,3.000,1.28094,0
55.000,3.000,1.26816,0
57.000,3.000,1.25525,0
59.000,3.000,1.24228,0
61.000,3.000,1.22933,0
63.000,3.000,1.21666,0
65.000,3.000,1.20413,0
67.000,3.000,1.19160,0
69.000,3.000,1.17925,0
71.000,3.000,1.16718,0
73.000,3.000,1.15518,0
75.000,3.000,1.14320,0
77.000,3.000,1.13143,0
79.000,3.000,1.11989,0
81.000,3.000,1.10839,0
83.000,3.000,1.09691,0
85.000,3.000,1.08571,0
87.000,3.000,1.07474,0
89.000,3.000,1.06376,0
91.000,3.000,1.05294,0
93.000,3.000,1.04252,0
95.000,3.000,1.03221,0
97.000,3.000,1.02193,0
99.000,3.000,1.01202,0
101.000,3.000,1.00248,0
103.000,3.000,0.99296,0
105.000,3.000,0.98354,0
107.000,3.000,0.97463,0
109.000,3.000,0.96604,0
111.000,3.000,0.95742,0
113.000,3.000,0.94902,0
115.000,3.000,0.94105,0
117.000,3.000,0.93324,0
119.000,3.000,0.92539,0
121.000,3.000,0.91766,0
123.000,3.000,0.90997,0
125.000,3.000,0.90215,0
127.000,3.000,0.89420,0
129.000,3.000,0.88745,0
131.000,3.000,0.89744,0
133.000,3.000,0.99009,0
135.000,3.000,1.16370,0
137.000,3.000,1.26835,0
139.000,3.000,1.30692,0
141.000,3.000,1.29911,0
